front,back,tags,source
Complete / recall the soundbite from react-snooker/chapter-01-foundations/01-the-problem.md: 'Goal: read this lesson without writing a single line of code...',"Goal: read this lesson without writing a single line of code, and end with a clear, written-down understanding of what we are about to build and why.",soundbite,react-snooker/chapter-01-foundations/01-the-problem.md
Complete / recall the soundbite from react-snooker/chapter-01-foundations/02-data-modeling.md: 'Goal: translate yesterday's pub conversation into precise Ty...',"Goal: translate yesterday's pub conversation into precise TypeScript types. By the end of this lesson you'll have written lib/types.ts — the single most important file in the codebase, even though it doesn't render anything.",soundbite,react-snooker/chapter-01-foundations/02-data-modeling.md
"Complete / recall the soundbite from react-snooker/chapter-01-foundations/02-data-modeling.md: 'For each round, the i-th element of team.r1 (or team.r2, qf,...'","For each round, the i-th element of team.r1 (or team.r2, qf, sf) corresponds to the i-th element of ROUND1MATCHES (or ROUND2MATCHES, QFMATCHES, SFMATCHES).",soundbite,react-snooker/chapter-01-foundations/02-data-modeling.md
In react-snooker/chapter-01-foundations/02-data-modeling.md: Why winner? is optional?,"This is the fork in the road that powers the whole app. Re-read Lesson 1's scoring rules: a match that hasn't been played has null (or, equivalently here, undefined) for every team's score. The data-level mechanism that produces that behaviour is the absence of match.winner.",concept,react-snooker/chapter-01-foundations/02-data-modeling.md
In react-snooker/chapter-01-foundations/02-data-modeling.md: Why score? and seed1? are optional?,score is optional because finished matches have one and pending matches don't. Same logic as winner.,concept,react-snooker/chapter-01-foundations/02-data-modeling.md
"In react-snooker/chapter-01-foundations/02-data-modeling.md: 1. r1, r2, qf, sf are arrays of strings — but final is just a string?","Lesson 1 reminded us there's only one Final match. So a team only makes one Final pick. We could have written final: string[] with one element, but that would cost us readability everywhere we touch it: team.final[0] === 'Wu Yize' reads worse than team.final === 'Wu Yize'. So we accept the asymmetry. The cost is that scoring code has one branch for Final and another for everything else (we'll see this in Lesson 3).",concept,react-snooker/chapter-01-foundations/02-data-modeling.md
In react-snooker/chapter-01-foundations/02-data-modeling.md: 2. The cosmetics live next to the picks?,"color, accent, icon, motto are decorative. They drive every gradient, badge, and chip in the UI. They live on the same object as the picks because each team is one logical thing — not two (a ""team identity"" plus ""team picks""). Splitting them would buy nothing and add a level of indirection.",concept,react-snooker/chapter-01-foundations/02-data-modeling.md
In react-snooker/chapter-01-foundations/02-data-modeling.md: 3. r1Players? and r2Players? exist for a subtle scoring case?,"These aren't needed for normal scoring — they're a hint used by calculateTeamScores when a team's pick advances through the round in a non-obvious way (e.g. the team picked someone in their R1 spot, but the R2 spot is for a different bracket position than they expected). For most teams these arrays are unused. They're optional precisely because most teams won't have them.",concept,react-snooker/chapter-01-foundations/02-data-modeling.md
In react-snooker/chapter-01-foundations/02-data-modeling.md: Answer to #1 (because it's a real gotcha)?,"winner?: string and winner: string | undefined look almost the same, but they differ on whether the field has to be specified at all when constructing the object.",concept,react-snooker/chapter-01-foundations/02-data-modeling.md
"Complete / recall the soundbite from react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: 'Goal: write lib/scoring.ts — two pure functions, no React, n...'","Goal: write lib/scoring.ts — two pure functions, no React, no JSX, no DOM. By the end of this lesson the heart of the application is beating, and you haven't typed import React even once.",soundbite,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
"Complete / recall the soundbite from react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: 'Interview tip. When asked ""how do you structure a React app?...'","Interview tip. When asked ""how do you structure a React app?"", the seniors say ""separate pure data/logic from rendering."" If you can point to your own lib/ folder full of pure functions and your components/ folder of pure presentation, you've got a working answer with proof.",soundbite,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
"Complete / recall the soundbite from react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: 'If the match isn't finished, return null. Otherwise, return ...'","If the match isn't finished, return null. Otherwise, return 3 if the pick won, 1 otherwise.",soundbite,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
In react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: Branch 1: if (!match || !match.winner) return null;?,"This is the ""pending"" branch. Two ways the function arrives here:",concept,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
In react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: Branch 2: if (pick === match.winner) return 3;?,"If we reach this line, we know match.winner is a string (TypeScript narrowed it from the previous early-return). If the team's pick matches the winner, they get 3 points.",concept,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
In react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: Branch 3: return 1;?,"The match has a winner, but the pick wasn't them. The team gets a consolation point. Snooker's hard; you tried.",concept,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
In react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md: The whole function in one breath?,"> ""If the match isn't finished, return null. Otherwise, return 3 if the pick won, 1 otherwise.""",concept,react-snooker/chapter-01-foundations/03-pure-functions-and-scoring.md
