front,back,tags,source
What are the five generations of AI tooling? Which one are you primarily on?,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/01-what-changed.md
What are the three workflows? Which one is most of your real work?,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/01-what-changed.md
Can you: What are the three things AI is genuinely good at? Give one concrete example for each,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/01-what-changed.md
Can you: What are the three things AI is genuinely bad at? Give one concrete example for each,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/01-what-changed.md
"How do you respond to ""Are you a vibe coder?"" without dismissing the term or sounding cocky?","Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/01-what-changed.md
"Can you deliver your 30-second self-intro line, twice in a row, without notes?","Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/01-what-changed.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/01-what-changed.md: 'If your interviewer asks ""How do you use AI in your work?"" a...'","If your interviewer asks ""How do you use AI in your work?"" and you say ""I use Copilot for autocomplete,"" you've already lost the room. This lesson teaches you to answer that question like a senior engineer.",soundbite,ai-interview/chapter-01-foundations/01-what-changed.md
Complete / recall the soundbite from ai-interview/chapter-01-foundations/01-what-changed.md: 'I'm primarily on G4 — agentic editing. I use it for multi-fi...',I'm primarily on G4 — agentic editing. I use it for multi-file refactors and data-shaping. For one-off questions or unfamiliar APIs I'll drop into a G2/G3 chat. I haven't moved fully to G5 autonomous agents yet because I want to review every diff before it lands.,soundbite,ai-interview/chapter-01-foundations/01-what-changed.md
Complete / recall the soundbite from ai-interview/chapter-01-foundations/01-what-changed.md: 'You know what you want. You ask. The AI produces it. You rev...',You know what you want. You ask. The AI produces it. You review and accept.,soundbite,ai-interview/chapter-01-foundations/01-what-changed.md
Complete / recall the soundbite from ai-interview/chapter-01-foundations/01-what-changed.md: 'You don't know what you want. You explore options with the A...',You don't know what you want. You explore options with the AI as a thinking partner.,soundbite,ai-interview/chapter-01-foundations/01-what-changed.md
Complete / recall the soundbite from ai-interview/chapter-01-foundations/01-what-changed.md: 'The AI generated something. It's 80% there. You and the AI i...',The AI generated something. It's 80% there. You and the AI iterate until it's right.,soundbite,ai-interview/chapter-01-foundations/01-what-changed.md
Complete / recall the soundbite from ai-interview/chapter-01-foundations/01-what-changed.md: 'I think of AI-assisted work in three modes: generation when ...',"I think of AI-assisted work in three modes: generation when I know exactly what I want, exploration when I'm trying to choose between approaches, and iteration when I'm refining something that already exists. Most of my real work is iteration.",soundbite,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: How to drop this casually in an interview?,"> ""I'm primarily on G4 — agentic editing. I use it for multi-file refactors and data-shaping. For one-off questions or unfamiliar APIs I'll drop into a G2/G3 chat. I haven't moved fully to G5 autonomous agents yet because I want to review every diff before it lands.""",concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 2.1. Generation workflow?,> You know what you want. You ask. The AI produces it. You review and accept.,concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 2.2. Exploration workflow?,> You don't know what you want. You explore options with the AI as a thinking partner.,concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 2.3. Iteration workflow?,> The AI generated something. It's 80% there. You and the AI iterate until it's right.,concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: How to drop this in an interview?,"> ""I think of AI-assisted work in three modes: generation when I know exactly what I want, exploration when I'm trying to choose between approaches, and iteration when I'm refining something that already exists. Most of my real work is iteration.""",concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 3.1. What ""vibe coding"" means at the good end?",- Iterating quickly with AI assistance. - Trusting your taste about whether the output looks right. - Skipping ceremony when ceremony doesn't earn its keep. - Letting the LLM type so you can think.,concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 3.2. What ""vibe coding"" means at the bad end?","- Shipping code you can't read. - ""It works"" being the only test. - Not understanding the abstractions the AI introduced. - Copying solutions to problems you couldn't articulate.",concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 3.3. How interviewers use the phrase?,"Interviewers asking ""Are you a vibe coder?"" are usually asking one of three different questions:",concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 4.1. Pattern-rich, low-novelty work?","- Boilerplate (form scaffolds, CRUD endpoints, type definitions). - Conversions (JSON → TS interfaces, CSS → Tailwind, Python → Go). - Test scaffolding (writing the next test that follows the existing pattern). - Documentation (turning code into prose, generating JSDoc/docstrings).",concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 4.2. Constrained, well-specified algorithms?","- Implementing a known algorithm given a clear spec (""debounce"", ""trie"", ""merge sort""). - Glue code between well-known APIs (file → S3, webhook → handler). - Refactors with a clear target (""extract this into a custom hook"").",concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 4.3. Search and synthesis?,"- ""What are the three ways people typically solve X?"" - ""What does this error message usually mean in Postgres?"" - ""Compare TanStack Query vs SWR for my use case.""",concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 5.1. Novel architecture under real constraints?,"The LLM doesn't know your team's deploy story, your billing tier, your historical war stories about the queue that took down prod, your manager's risk tolerance, your timeline. It will produce a design that looks reasonable in isolation and is wrong for your context.",concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 5.2. Cross-cutting refactors that span a long history?,"Imagine: ""rename a field across 60 files, but only in the new code paths, leaving the legacy paths alone."" The LLM doesn't have the institutional memory of which paths are legacy. It will rewrite the wrong subset, confidently.",concept,ai-interview/chapter-01-foundations/01-what-changed.md
In ai-interview/chapter-01-foundations/01-what-changed.md: 5.3. Debugging where the bug is in your understanding?,"If you're prompting the AI to ""fix this race condition"" but you've misdiagnosed which two operations are racing, the AI will fix the wrong race condition and the bug will return tomorrow.",concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 7.1. The ""I love AI"" pitfall?","You sound like a fan, not an engineer. The interviewer will dig deeper to see if you have any judgment.",concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 7.2. The ""I'm anti-AI"" pitfall?",You sound like you're hiding the fact that you don't use it. The interviewer will assume you'll be slower than the AI-fluent candidate.,concept,ai-interview/chapter-01-foundations/01-what-changed.md
"In ai-interview/chapter-01-foundations/01-what-changed.md: 7.3. The ""It depends"" pitfall?","You sound evasive. ""It depends"" is only a great answer when you immediately follow with the things it depends on.",concept,ai-interview/chapter-01-foundations/01-what-changed.md
Can you draw the 5-layer model from memory?,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/02-the-skill-stack.md
Can you name two examples per layer of work that lives there?,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Can you name three tasks AI is good at and three it's bad at, and assign each to a layer?","Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Can you list the 5 new skills, with one concrete example apiece?","Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/02-the-skill-stack.md
Can you rewrite a real resume bullet of yours to lift it from Layer 2 to Layer 3?,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/02-the-skill-stack.md
Can you deliver the section-7 soundbite without notes?,"Self-rate 1-5. If <4, re-read the lesson.",self-quiz check-yourself,ai-interview/chapter-01-foundations/02-the-skill-stack.md
Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'Engineering work breaks into five layers. AI is now competen...',Engineering work breaks into five layers. AI is now competent at two of them. You sell the other three. This lesson is the map.,soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'Interview signal: ""I treat my prompts like code. Version-con...'","Interview signal: ""I treat my prompts like code. Version-controlled, with regression evals when I change them.""",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'Interview signal: ""Before I shipped the AI-summarization fea...'","Interview signal: ""Before I shipped the AI-summarization feature, I had 50 hand-graded test inputs and a CI job that scored each new prompt version against them.""",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'Interview signal: ""AI tends to write code that looks correct...'","Interview signal: ""AI tends to write code that looks correct but uses APIs that don't exist or are deprecated. My review checklist for AI code is different from my review checklist for human code.""",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'Interview signal: ""We use Claude Haiku for the first pass an...'","Interview signal: ""We use Claude Haiku for the first pass and only escalate to Sonnet if the response fails our quality check. That cut our LLM bill 70% and average latency 40%.""",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'Interview signal: ""We never let user content reach the model...'","Interview signal: ""We never let user content reach the model raw — we run a redaction pass first, and we treat any tool the model can call as if a malicious user had typed it.""",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'I mean, AI does most of my work now....'","I mean, AI does most of my work now.",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
"Complete / recall the soundbite from ai-interview/chapter-01-foundations/02-the-skill-stack.md: 'AI is overhyped, I barely use it....'","AI is overhyped, I barely use it.",soundbite,ai-interview/chapter-01-foundations/02-the-skill-stack.md
